gender,race/ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,total_score,performance_category
female,group B,bachelor's degree,standard,none,72,72,74,218,Medium
female,group C,some college,standard,completed,69,90,88,247,High
female,group B,master's degree,standard,none,90,95,93,278,High
male,group A,associate's degree,free/reduced,none,47,57,44,148,Low
male,group C,some college,standard,none,76,78,75,229,Medium
female,group B,associate's degree,standard,none,71,83,78,232,Medium
female,group B,some college,standard,completed,88,95,92,275,High
male,group B,some college,free/reduced,none,40,43,39,122,Low
male,group D,high school,free/reduced,completed,64,64,67,195,Medium
female,group B,high school,free/reduced,none,38,60,50,148,Low
male,group C,associate's degree,standard,none,58,54,52,164,Low
male,group D,associate's degree,standard,none,40,52,43,135,Low
female,group B,high school,standard,none,65,81,73,219,Medium
male,group A,some college,standard,completed,78,72,70,220,Medium
female,group A,master's degree,standard,none,50,53,58,161,Low
female,group C,some high school,standard,none,69,75,78,222,Medium
male,group C,high school,standard,none,88,89,86,263,High
female,group B,some high school,free/reduced,none,18,32,28,78,Low
male,group C,master's degree,free/reduced,completed,46,42,46,134,Low
female,group C,associate's degree,free/reduced,none,54,58,61,173,Low
male,group D,high school,standard,none,66,69,63,198,Medium
female,group B,some college,free/reduced,completed,65,75,70,210,Medium
male,group D,some college,standard,none,44,54,53,151,Low
female,group C,some high school,standard,none,69,73,73,215,Medium
male,group D,bachelor's degree,free/reduced,completed,74,71,80,225,Medium
male,group A,master's degree,free/reduced,none,73,74,72,219,Medium
male,group B,some college,standard,none,69,54,55,178,Medium
female,group C,bachelor's degree,standard,none,67,69,75,211,Medium
male,group C,high school,standard,none,70,70,65,205,Medium
female,group D,master's degree,standard,none,62,70,75,207,Medium
female,group D,some college,standard,none,69,74,74,217,Medium
female,group B,some college,standard,none,63,65,61,189,Medium
female,group E,master's degree,free/reduced,none,56,72,65,193,Medium
male,group D,some college,standard,none,40,42,38,120,Low
male,group E,some college,standard,none,97,87,82,266,High
male,group E,associate's degree,standard,completed,81,81,79,241,High
female,group D,associate's degree,standard,none,74,81,83,238,High
female,group D,some high school,free/reduced,none,50,64,59,173,Low
female,group D,associate's degree,free/reduced,completed,75,90,88,253,High
male,group B,associate's degree,free/reduced,none,57,56,57,170,Low
male,group C,associate's degree,free/reduced,none,55,61,54,170,Low
female,group C,associate's degree,standard,none,58,73,68,199,Medium
female,group B,associate's degree,standard,none,53,58,65,176,Medium
male,group B,some college,free/reduced,completed,59,65,66,190,Medium
female,group E,associate's degree,free/reduced,none,50,56,54,160,Low
male,group B,associate's degree,standard,none,65,54,57,176,Medium
female,group A,associate's degree,standard,completed,55,65,62,182,Medium
female,group C,high school,standard,none,66,71,76,213,Medium
female,group D,associate's degree,free/reduced,completed,57,74,76,207,Medium
male,group C,high school,standard,completed,82,84,82,248,High
male,group E,some college,standard,none,53,55,48,156,Low
male,group E,associate's degree,free/reduced,completed,77,69,68,214,Medium
male,group C,some college,standard,none,53,44,42,139,Low
male,group D,high school,standard,none,88,78,75,241,High
female,group C,some high school,free/reduced,completed,71,84,87,242,High
female,group C,high school,free/reduced,none,33,41,43,117,Low
female,group E,associate's degree,standard,completed,82,85,86,253,High
male,group D,associate's degree,standard,none,52,55,49,156,Low
male,group D,some college,standard,completed,58,59,58,175,Medium
female,group C,some high school,free/reduced,none,0,17,10,27,Low
male,group E,bachelor's degree,free/reduced,completed,79,74,72,225,Medium
male,group A,some high school,free/reduced,none,39,39,34,112,Low
male,group A,associate's degree,free/reduced,none,62,61,55,178,Medium
female,group C,associate's degree,standard,none,69,80,71,220,Medium
female,group D,some high school,standard,none,59,58,59,176,Medium
male,group B,some high school,standard,none,67,64,61,192,Medium
male,group D,some high school,free/reduced,none,45,37,37,119,Low
female,group C,some college,standard,none,60,72,74,206,Medium
male,group B,associate's degree,free/reduced,none,61,58,56,175,Medium
female,group C,associate's degree,standard,none,39,64,57,160,Low
female,group D,some college,free/reduced,completed,58,63,73,194,Medium
male,group D,some college,standard,completed,63,55,63,181,Medium
female,group A,associate's degree,free/reduced,none,41,51,48,140,Low
male,group C,some high school,free/reduced,none,61,57,56,174,Low
male,group C,some high school,standard,none,49,49,41,139,Low
male,group B,associate's degree,free/reduced,none,44,41,38,123,Low
male,group E,some high school,standard,none,30,26,22,78,Low
male,group A,bachelor's degree,standard,completed,80,78,81,239,High
female,group D,some high school,standard,completed,61,74,72,207,Medium
female,group E,master's degree,standard,none,62,68,68,198,Medium
female,group B,associate's degree,standard,none,47,49,50,146,Low
male,group B,high school,free/reduced,none,49,45,45,139,Low
male,group A,some college,free/reduced,completed,50,47,54,151,Low
male,group E,associate's degree,standard,none,72,64,63,199,Medium
male,group D,high school,free/reduced,none,42,39,34,115,Low
female,group C,some college,standard,none,73,80,82,235,High
female,group C,some college,free/reduced,none,76,83,88,247,High
female,group D,associate's degree,standard,none,71,71,74,216,Medium
female,group A,some college,standard,none,58,70,67,195,Medium
female,group D,some high school,standard,none,73,86,82,241,High
female,group C,bachelor's degree,standard,none,65,72,74,211,Medium
male,group C,high school,free/reduced,none,27,34,36,97,Low
male,group C,high school,standard,none,71,79,71,221,Medium
